title,release_date,album,lyrics
Madrid,2022-04-8,,"10 ContributorsTranslationsEnglishMadrid Lyrics[Letra de ""Madrid""]

[Verso 1]
Se te olvidó que tenías novio y hoy vienes a hablar
Como si nada a rogarme, pero yo ya
Hoy tengo lo que quiero: mujeres y dinero
No quiero nada en serio
Siento por dentro que mi corazón dañado está
Me siento grave al pensar que estás con alguien más
Pero le harás lo mismo, porque él no es tu tipo
Lo engañarás conmigo

[Coro]
Arriba del Mercedes-Benz impregnado a Dior quedó
Cuando lo hacíamos en el asiеnto de atrás
Y yo haciéndote venir, mojados los pantiеs Moncler que yo te di
Para irnos a Madrid

[Interludio Instrumental]

[Verso 2]
Llevo dos días bien enfiestado y no voy a parar
Y estoy seguro que tú también vas a hacerlo igual
Pero me da lo mismo que andes con otros tipos
Ellos no son tu tipo
Cierra los ojos y en tu mente mi cara verás
Recordarás aquellos tiempos cuando te daba
Fumabas a escondidas, conmigo te perdías
Con nadie más querías
You might also like[Coro]
Arriba del Mercedes-Benz impregnado a Dior quedó
Cuando lo hacíamos en el asiento de atrás
Y yo haciéndote venir, mojados los panties Moncler que yo te di
Para irnos a MadridEmbed"
YCQVM*,2023-None-None,,"4 ContributorsYCQVM* Lyrics[Letra de ""YCQVM""]

¡La letra completa estará disponible pronto!

[Adelanto]

[Verso: Brandon Dugay & Natanael Cano]
Baby, dame otro chance, tú y yo esta noche vamos a darle
Te hago tocar el cielo cuando lo hacemos bien duro eso
Móntate aquí en mi cuerpo, dejo que jales mis cadenas...

[Coro: Natanael Cano]
Le damos fuego
Lo que paso paso, la moneda..

[Verso: Natanael Cano]
...me tiene malo, bien lampareado
Atrás vienen las luces rojas, azules, yo no me paro
No digan que no debo si me las trueno cada que puedo
Bonito prende el cerro cuando del carre ya va llegandoYou might also likeEmbed"
Yo Vengo de Barrio,2020-06-17,,"3 ContributorsYo Vengo de Barrio Lyrics[Letra de ""Yo Vengo de Barrio"" ft. Ovi & RobGz]

[Intro]
This is a true Hollywood beat

[Coro: Ovi]
A los doce años yo empecé joseando (Sí)
Andaba en la calle ya bandolereando
Y yo vengo del barrio (¡Yah!), y eso fue necesario (¡Yah!)
Pa' que hoy en día no falte la fama y la feria en el bolsillo
Lo' carro' nuevo' y las babie' llamando (¡Yah!)
Y yo sigo ganando

[Verso 1: Ovi & RobGz]
Yah, ah
No hay que preocuparse, la vuelta se coronó
Gracias a mi madre por siempre rezarle a Dios (¡Yah!)
Y a ese falso amigo que la mano me mordió
Yo le deseo mis bendicione' (Sí)
Y aquí sigo firme, listo en la movida (Con los mismo', con los mío')
Yo no tengo miedo, respeto y dinero antes que la vida (Mera, dímelo, Nata)

[Coro: Natanael Cano]
A los doce año' yo empecé rolando
Yo vengo del barrio, me hice millonario
Ahora monto una Lambo, y no soy un malandro
Con 19 año' me metí de lleno al trabajo, al negocio
Tenemo' los cero' y las cuenta' llenando
Y no ando mamando (No ando mamando)
You might also like[Verso 2: Natanael Cano & RobGz]
Yo no olvido a mi gente, he dejado claro, ya está
Mi compa Dan Sánchez de Sonora y algunos otros por ahí
Arriba mi tierra donde se fundó todo el clan
Estamos tumbados, estamos arreando
Los número uno, los Billboard ganando
Cabrón, ¿quién tú eres? Yo vengo del barrio (Jaja)

[Verso 3: RobGz]
En la calle desde chamaquito
Joseando en el Lizard con to's mis hermano' (Pew)
Endecando los gramo' (-decando los gramo)
Así fue que empezamo' (Fue que empezamo'; jaja)
Estaba jodío', ahora soy artista platino (Jaja)
Y la misma gente que de mí se pasan hablando (Se pasan hablando)
Me lo están mamando (Me la están mamando)
He perdido panas por culpa del fuckin' dinero
Que ahora en la cuenta de banco me sigue llegando (Me sigue llegando)
Me dicen ""Wells Fargo"" (Me dicen ""Wells Fargo"")
Me compré un AP, tengo cinco cadena'
60 millone' de views en YouTube y el Mercede' 'tá saldo ('Tá saldo)
Sigo coronando (Sigo coronando)
Si un día me muero, no quiero un entierro
Llamen a lo' brother, se visten de negro y dondequiera llegamo' (Jaja)
Y los peine' vaciamo' (Jajaja)
[Outro: RobGz, Natanael Cano & Ovi]
Mera, dímelo, puñeta (Yah)
Dímelo, RobGz (Nata)
Ovi
Mera, dímelo, Ovi (¡Dímelo, yo'!)
First Order Music
La Real hasta la muerte
Y puros corridos tumbados, viejones
Mera, dime, Holly
¡Jaja!Embed"
Mi Nuevo Yo,2019-12-24,,"5 ContributorsMi Nuevo Yo Lyrics[Letra de ""Mi Nuevo Yo""]

[Verso 1]
Mi nueva vida, mis carros nuevos, también un nuevo yo
Mi casa nueva, nuevos amigos, si no sé ni quien soy

[Pre-Coro]
Valió la pena, tenerlo todo pero aquí adentro no hay nada
Corre o te opacas y no me alcanza pa' ser el mismo que era yo
Y no me alcanza, y el tiempo avanza y aquí estoy

[Coro]
No, que no les digan que no pueden
Yo, salí de abajo y bien arriba estoy
Y aunque el pasado también se quedó marcado pero son golpes de ayer, hoy estoy al 100
Fue, largo el camino y aún estoy de pie
Y en esta guerra que no hay que perder
Y aunque que me quebré por dentro yo con mi gente trato de quedar al 100, aunque así no esté

[Interludio]
Y porque andamos bien rezio viejones
Puro Natanael Cano, eah

[Verso 2]
Mi nueva novia, mi nueva ropa
También un nuevo yo
Rolex brillantes, cadenas largas, si no sé ni quien soy
You might also like[Pre-Coro]
Valió la pena tenerlo todo pero aquí adentro no hay nada
Corre o te opacas  si no me alcanza pa' ser el mismo que era yo
Y no me alcanza, y el tiempo avanza y aquí estoy

[Coro]
No, que no me digan que no puedo
Y hoy, y aunque les pese ya ni se quien soy
Y si el camino también se quedó marcado pero son golpes de ayer, hoy estoy al 100
Fue, largo el camino y aún estoy de pie
Y en esta guerra que no hay que perder
Y aunque que me quebré por dentro yo con mi gente trato de quedar al 100, aunque así no estéEmbed"
Seca Tus Lágrimas,2020-02-14,,"3 ContributorsSeca Tus Lágrimas Lyrics[Letra de ""Seca Tus Lágrimas"" ft. Junior H]

[Coro]
Seca tus lágrimas, luego levántate
Vete y no vuelvas
Y hasta que tú estés pensando claro
Deja ese llanto porque ese cuento yo ya me lo sé

[Verso 1]
Dile a tus amigas que no me marquen
Y da el mensaje pa' no hacer perder
Su tiempo entero, cuántos recuerdos
Te soy sincero, yo ya los borré

[Verso 2]
Entre las pláticas que hemos cambiado
Miles de rosas que te fui dando
Y en esta historia yo soy el malo
Al que le quitan lo que se ha ganado

[Coro]
Seca tus lágrimas, luego levántate
Vete y no vuelvas
Y hasta que tú estés pensando claro
Deja ese llanto porque ese cuento yo ya me lo séYou might also like1Embed"
El Capitán,2020-02-14,,"3 ContributorsEl Capitán Lyrics[Letra de ""El Capitán"" ft. Herencia de Patrones]

[Verso 1]
Me siento desesperado
Ya no sé cuánto ha pasado
El cansancio se desvanece pensando en tu rostro
Sabes bien que no te ofrecen lo que te ando ofreciendo
Yo no fui el culpable, pasó lo que iba a pasar
Y así fue el destino, mi amor, no hay quien lo pueda cambiar
Que piensas en mí, no te miento, porque yo pienso igual
Pero no será lo mismo, ya no pienso regresar

[Verso 2]
Lo siento pero ya es el momento
De ponernos de acuerdo en olvidar los hechos
Lo que sucedió o no sucedió, en el pasado se quedó
Ya no soy el mismo y eso es cierto
Cosas cambian y cambió mis pensamientos
Sentimientos vanecieron los recuerdos
Ya se fueron, de perderte tenía miedo
Y ahora lo supero con la hierba
Calmo nervios cuando pienso en tus besos
La codeína que me tumba y aun me mantengo despierto
Pensando en por qué no tengo lo que un día me hizo contento
La soledad me acompaña y hoy comprendo
You might also like[Interludio]
Clica fija viejones

[Verso 3]
Se desvaneció el amor, mi vida
En mi corazón encontró la salida
Pensando que no lastimaría
Pero sueño contigo cuando duermo, qué ironía
Ahora toca retirar el gancho
Porque tengo morras que están esperando
Capitán del barco nunca sufre por pescados
¿Qué no te han contado quién es quien está en cargo?
¿Qué no te han contado quién está en el mando?
El que mantiene el billete circulando
La razón que hay comida en el plato
El estilo que me cargo hay pa' rato
Sé que todavía van a seguir copiando
Y aun así me la van a seguir pelando
Pero yo sigo en lo mío, en lo que ando
¿Qué no has escuchado? No se preocupa el muchachoEmbed"
Y Que,2019-03-28,,"4 ContributorsY Que Lyrics[Verso: 1]
No soy lo que quieran ver
Yo soy como soy y qué
No me cambiaran
Pues si ando marihuano y qué
Tu no me das de comer
Yo tengo porque logré
Y aun sigo siendo el mas loco
Hablan de mi pero y qué
Me los como yo sé bien
Guacha como te me atrasas
Pues soy el mejor
De donde salí no hay dos
La juegan a los crecidos
Son mas falsos que su estilo
No sé y qué

[Verso: 2]
Brindemos por los que hoy
Saben bien como y quién soy
Qué si he batallado un chingo
Pero el camino esta fijo
Hablan de mi pero y qué
Ellos son peores lo sé
Que tire la primer piedra
Quién tenga vida perfecta
No sé y qué...You might also likeEmbed"
Doble Vaso,2023-05-25,,"2 ContributorsDoble Vaso Lyrics[Letra de ""Doble Vaso""]

[Refrán]
Y un doble vaso traigo en mi mano y en la derecha traigo los diamonds
También un fierrito que me cuida, no se me asusten, no es pa' trazarlo
La lumbre andamos, no nos quemamos, ¿que cuántos somos? Pues somos varios
Pa' esto no hay miedo, nervios de acero para jalarnos cuando debamos

[Verso]
Veneno saco, la bolsa llena de feria buena, libretas llegan
Manden maletas pa'l otro lado, pasan mandados
Y aquí se cumplen con los encargos
Si coronamos nos enfiestamos y no paramos
El polvo blanco pa' alivianarnos
Traigan de todo, que no le saco, y

[Coro]
Porte fino, alegrе, intelectual
Y en еl cuello se le vio un dorsal
Y anda enclickado, se ve jalado
Con una morrita acompañado
Y pues ya empezamos, con nadie hablamos
Pa' transportarnos como diez carros
Y aquí se cumplen con los encargos
Si coronamos nos enfiestamos, eah
You might also like[Interludio Instrumental]

[Refrán]
Y un doble vaso traigo en mi mano y en la derecha traigo los diamonds
También un fierrito que me cuida, no se me asusten, no es pa' trazarlo
La lumbre andamos, no nos quemamos, ¿que cuántos somos? Pues somos varios
Pa' esto no hay miedo, nervios de acero para jalarnos cuando debamos

[Coro]
Porte fino, alegre, intelectual
Y en el cuello se le vio un dorsal
Y anda enclickado, se ve jalado
Con una morrita acompañado
Y pues ya empezamos, con nadie hablamos
Pa' transportarnos como diez carros
Y aquí se cumplen con los encargos
Si coronamos nos enfiestamos, eahEmbed"
Estrellas,2022-04-1,,"6 ContributorsEstrellas Lyrics[Letra de ""Estrellas""]

[Intro]
Bebecita, dime qué pasó, si cometí un error (Error)
Y es que no puedo vivir sin tu calor (Calor)
Y ya no quiero ser el mismo que era yo, oh-oh
Y tú solo usas Christian Dior
Las bolsas se quedaron sueltas
Voy all in, no importan las apuestas
Baby no me importa cuánto cuestas
Bebecita, ¿qué pasó?
¿Que ya se te olvidaron las cosas que pasamos?
Pero yo me he aferrado

[Estribillo]
Es que yo sin ti (Ah, ah), no sé qué pasaría (Pasaría)
Las estrellas las toco en el día (Día), te las bajo solo para ti (Para ti; yah, yah, yah)
Es que yo sin ti, jamás lo pensarían (Ah, ah)
El que nunca se enamoraría, hoy lo tienes rendido a tus pies (Nata)

[Verso: Natanael Cano & Badguychapo]
Dice que no soy el mismo que era ayer
Baby, yo sé que en mí no puedes creer
Ahora soy otra persona, no sé si quieras ver (Créeme)
Ya no bajo de Gucci ni Louis Vuitton (Ni del avión)
Ahora me miran en un maquinón (Yah)
T-T-Te compro todo lo que quieras
Contigo me quedo y hasta que me muera (Ah, ah)
Te compro todas las Gucci, Versace y las Ferra (¡Ay!)
Nos vamos a explorar la tierra, conmigo te quedas (Conmigo te quedas)
You might also like[Estribillo]
Es que yo sin ti, no sé qué pasaría
Las estrellas las toco en el día, te las bajo solo para ti
Es que yo sin ti (Sin ti), jamás lo pensarían (Pensarían)
El que nunca se enamoraría, hoy lo tienes rendido a tus pies (Pies)

[Outro Instrumental]Embed"
Qué Bendición,2020-06-26,,"6 ContributorsQué Bendición Lyrics[Letra de ""Qué Bendición""]

[Intro]
Yepi-ye, yepi-yo, yepi-ye, yepi-yo
Yepi-ye, yepi-yo
Play-N-Skillz

[Verso 1]
Qué bendición
Me encerré desde los dos años a escribir solo esta canción
Mi historia, el camino fue el mismo que el niño predijo y solo me bastó
Mandar a la verga toda esa gente que en mí nunca creyó
Y con la fulete en la mano apuntando a su shompa, así fue como él aprendió
Qué bendición
Te hice el amor má' de die' vece' y to'a en el mismo sillón
Nunca te importó la pobreza, ahora somo' millo' y ya gané mi millón
Y como D.Y. andamo' con calma, no compramo' un billboard en New York
Ya gané mi millón

[Coro]
Qué bendición
Me hice milloneta cantando solo una canción
Es la de mi vida plasmada con tinta y escrita con mucho dolor
Qué bendición, qué bendición
Qué bendición, qué bendición
You might also like[Post-Coro]
Yepi-ye, yepi-yo, yepi-ye, yepi-yo
Yepi-ye, yepi-yo
Qué bendición (Qué bendición)
Yepi-ye, yepi-yo, yepi-ye, yepi-yo
Yepi-ye, yepi-yo
Qué bendición (Qué bendición)

[Verso 2]
Yo no soy malo, yo hago lo que hago
Y si hablan mierda y no tuve un centavo
Y el éxito llega si estás preparado
Mandé a la verga a todos, los fui alcanzando
Perdido en la bebida te compuse un disco entero
Y no fue pa' una morra, fue pa' todos los culeros
Que me vieron pa'bajo y que de mi un día se rieron
Ahora los cacheteo con las joyas y el dinero
Yo no olvido a mi gente, he dejado claro, ya está
Mi compa Dan Sánchez de Sonora y algunos otros por ahí
Arriba mi tierra donde se fundó todo el clan
Puro tumbado, puro tumbado (Ah)

[Coro]
Qué bendición
Me hice milloneta cantando solo una canción
Es la de mi vida plasmada con tinta y escrita con mucho dolor
Qué bendición, qué bendición
Qué bendición, qué bendición
[Post-Coro]
Yepi-ye, yepi-yo, yepi-ye, yepi-yo
Yepi-ye, yepi-yo
Qué bendición (Qué bendición)
Yepi-ye, yepi-yo, yepi-ye, yepi-yo
Yepi-ye, yepi-yo
Qué bendición (Qué bendición)

[Outro]
Dímelo, Play
Play-N-Skillz, papá1Embed"
